diet_type,specific_food_item,food_category,sugar_intake,dairy_intake,processed_food_freq,spicy_food_freq,oily_food_level,water_intake_liters,sleep_hours,stress_level,exercise,skin_type,acne_risk
Non-Veg,Chicken,Balanced,Low,None,Medium,Medium,High,2.8,5,2,Yes,Dry,Medium
Non-Veg,Fish,Omega3_Rich,Medium,Daily,Medium,Medium,Low,2.9,10,4,No,Oily,High
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,None,Low,High,Medium,2.2,8,2,No,Oily,Medium
Veg,Starchy/Potato,High_Glycemic,High,Occasional,Low,Low,Medium,4.1,5,3,No,Oily,High
Non-Veg,Eggs,Hormonal_Trigger,Low,Occasional,Medium,High,Medium,2.0,6,3,No,Dry,Medium
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,Occasional,Medium,High,High,2.0,7,2,Yes,Dry,Low
Vegan,Legumes/Pulses,Antioxidant_Rich,Medium,None,Medium,High,Medium,2.5,7,1,Yes,Dry,Low
Veg,Starchy/Potato,High_Glycemic,Medium,Daily,Low,Medium,High,1.3,10,2,Yes,Oily,High
Veg,Starchy/Potato,High_Glycemic,Medium,Occasional,Medium,High,Medium,1.6,7,3,No,Dry,Medium
Veg,Paneer/Dairy Rich,Hormonal_Trigger,High,Daily,Low,Medium,Low,1.7,5,1,No,Oily,High
Non-Veg,Red Meat,High_Inflammation,High,Occasional,Low,Medium,Low,3.9,7,2,No,Oily,High
Veg,Starchy/Potato,High_Glycemic,Low,Daily,High,High,Medium,2.4,6,1,No,Dry,Medium
Vegan,Starchy/Potato,High_Glycemic,Low,Occasional,Medium,Low,Low,1.9,8,2,No,Oily,Medium
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Medium,None,Low,Low,Medium,1.6,5,3,No,Dry,Medium
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Medium,Daily,High,Medium,Low,1.9,10,2,Yes,Normal,Medium
Veg,Balanced Veg,Balanced,Low,Daily,Medium,Low,Medium,1.9,10,5,Yes,Oily,High
Veg,Paneer/Dairy Rich,Hormonal_Trigger,High,None,High,High,Low,2.3,4,1,Yes,Normal,High
Non-Veg,Chicken,Balanced,Medium,None,Medium,Low,Medium,3.1,8,1,Yes,Oily,Low
Non-Veg,Fish,Omega3_Rich,High,Daily,Medium,Low,Low,2.5,9,1,No,Dry,Low
Non-Veg,Red Meat,High_Inflammation,High,None,High,Low,Low,1.5,4,3,No,Normal,High
Non-Veg,Fish,Omega3_Rich,Low,None,Medium,Medium,Low,3.0,7,3,No,Normal,Low
Non-Veg,Chicken,Balanced,Medium,Daily,Low,Medium,High,2.2,9,2,Yes,Oily,Medium
Veg,Leafy Greens,Antioxidant_Rich,Low,Occasional,Medium,Medium,Low,1.4,7,1,No,Oily,Low
Veg,Balanced Veg,Balanced,Low,Daily,Medium,Low,Low,2.0,7,4,Yes,Dry,Low
Veg,Legumes/Pulses,Antioxidant_Rich,Low,Occasional,High,Low,Low,2.6,10,1,No,Dry,Low
Veg,Leafy Greens,Antioxidant_Rich,Low,Daily,High,Medium,High,2.6,9,2,Yes,Normal,Medium
Vegan,Balanced Veg,Balanced,Low,Occasional,Medium,Medium,Medium,1.8,6,3,No,Normal,Medium
Veg,Leafy Greens,Antioxidant_Rich,High,None,Medium,Low,High,3.4,6,3,Yes,Oily,Medium
Non-Veg,Chicken,Balanced,High,Daily,Low,High,Medium,1.7,4,2,No,Normal,High
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Low,Daily,Medium,Medium,Medium,2.6,9,3,Yes,Oily,High
Vegan,Leafy Greens,Antioxidant_Rich,Low,Occasional,Medium,Medium,Medium,2.0,7,2,Yes,Normal,High
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,Daily,Medium,Medium,Medium,1.6,7,1,No,Dry,Low
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,Daily,Medium,Medium,Medium,3.1,6,4,No,Dry,Medium
Veg,Starchy/Potato,High_Glycemic,Low,Occasional,Medium,Medium,Medium,2.3,10,4,Yes,Normal,Medium
Vegan,Nuts/Seeds,Omega3_Rich,Medium,Occasional,Medium,Medium,Low,2.7,6,2,Yes,Oily,Low
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,Daily,Medium,High,Medium,2.7,6,4,Yes,Oily,High
Veg,Balanced Veg,Balanced,High,None,Medium,Low,High,2.3,4,4,Yes,Normal,High
Non-Veg,Fish,Omega3_Rich,High,Occasional,High,High,Medium,0.9,8,3,Yes,Oily,High
Non-Veg,Red Meat,High_Inflammation,Low,None,Medium,High,Medium,2.4,9,2,Yes,Normal,Medium
Veg,Balanced Veg,Balanced,Low,None,Medium,Low,Low,2.4,5,1,Yes,Normal,Low
Veg,Legumes/Pulses,Antioxidant_Rich,Medium,Daily,High,High,Medium,2.2,8,3,Yes,Dry,Medium
Non-Veg,Fish,Omega3_Rich,High,Occasional,Low,Medium,Medium,3.9,8,2,No,Normal,Low
Vegan,Legumes/Pulses,Antioxidant_Rich,High,Occasional,Medium,Low,Medium,1.8,9,2,Yes,Oily,Medium
Veg,Balanced Veg,Balanced,Medium,Daily,High,Low,Low,3.2,7,3,Yes,Dry,Medium
Veg,Legumes/Pulses,Antioxidant_Rich,Low,None,Low,High,Medium,1.9,5,3,Yes,Dry,Low
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Medium,Daily,Medium,High,Low,2.4,8,3,No,Normal,High
Non-Veg,Chicken,Balanced,Medium,Occasional,Low,High,High,1.8,5,2,Yes,Normal,Medium
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Medium,Occasional,High,High,Low,2.0,6,1,No,Oily,High
Non-Veg,Processed Meat,High_Inflammation,Low,Daily,Medium,Medium,Medium,2.6,5,3,Yes,Oily,High
Non-Veg,Fish,Omega3_Rich,Medium,Daily,Medium,Medium,Low,2.3,9,2,Yes,Normal,Low
Non-Veg,Chicken,Balanced,Low,Daily,Low,High,Medium,1.4,8,2,No,Oily,High
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Medium,None,Medium,Medium,Medium,2.1,7,1,No,Normal,Medium
Veg,Paneer/Dairy Rich,Hormonal_Trigger,Low,None,Low,Medium,High,2.2,7,3,Yes,Dry,Medium
Non-Veg,Chicken,Balanced,Medium,Occasional,Medium,Low,Low,4.5,8,3,Yes,Dry,Low
